,ID,id_student,code_module,code_presentation,url_row,forumng_row,homepage_row,oucontent_row,subpage_row,resource_row,sharedsubpage_row,page_row,questionnaire_row,ouwiki_row,htmlactivity_row,ouelluminate_row,dataplus_row,externalquiz_row,repeatactivity_row,dualpane_row,quiz_row,glossary_row,oucollaborate_row,folder_row,url_col,forumng_col,homepage_col,oucontent_col,subpage_col,resource_col,sharedsubpage_col,page_col,questionnaire_col,ouwiki_col,htmlactivity_col,ouelluminate_col,dataplus_col,externalquiz_col,repeatactivity_col,dualpane_col,quiz_col,glossary_col,oucollaborate_col,folder_col
0,8,24186,GGG,2014B,0,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1,9,24213,DDD,2014B,3,4,4,4,4,3,0,0,0,4,0,0,0,3,0,0,0,0,3,0,4,4,4,3,4,4,0,0,0,4,0,0,0,4,0,0,0,0,4,0
2,13,25150,EEE,2014B,3,4,4,4,3,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,3,4,4,2,2,0,0,0,4,0,0,0,0,0,0,3,0,0,0
3,16,25629,BBB,2014B,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17,25997,BBB,2014B,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5,20,26211,FFF,2014B,3,4,4,4,4,3,0,3,3,3,0,0,2,0,0,2,4,2,2,2,4,4,4,4,4,4,0,4,4,4,0,0,4,0,0,4,4,4,4,4
6,26,27189,FFF,2014B,3,4,4,4,4,3,0,2,0,3,0,0,0,0,0,0,4,0,2,3,4,4,4,4,4,4,0,4,0,3,0,0,0,0,0,0,4,0,3,4
7,29,27683,FFF,2014B,3,4,4,4,4,3,0,3,3,3,0,0,0,0,0,0,4,0,0,2,4,3,3,4,4,3,0,4,4,4,0,0,0,0,0,0,4,0,0,4
8,31,27780,EEE,2014B,4,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,33,27891,BBB,2014B,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,38,28418,CCC,2014B,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,2,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
11,40,28808,FFF,2014B,3,4,4,4,4,4,0,3,0,3,0,0,0,0,0,0,3,0,0,0,1,2,1,3,2,2,0,4,0,3,0,0,0,0,0,0,2,0,0,0
12,41,28897,FFF,2014B,3,4,4,4,4,3,0,2,3,3,0,0,3,0,0,2,4,2,0,2,4,3,4,4,4,3,0,4,4,4,0,0,4,0,0,4,4,4,0,4
13,49,29639,EEE,2014B,4,4,4,4,3,3,0,0,0,4,0,0,0,0,0,3,3,0,3,0,4,4,4,4,1,2,0,0,0,4,0,0,0,0,0,4,3,0,4,0
14,50,29764,CCC,2014B,3,3,4,4,4,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,2,3,3,4,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0
15,52,29820,CCC,2014B,3,4,4,3,4,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,1,3,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0
16,53,29820,EEE,2014B,3,4,4,4,3,3,0,0,0,4,0,0,0,0,0,0,4,0,3,0,4,4,4,4,3,4,0,0,0,4,0,0,0,0,0,0,3,0,4,0
17,54,29985,GGG,2014B,0,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,4,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
18,58,30531,FFF,2014B,3,4,4,4,4,3,0,3,3,3,0,0,0,0,0,0,4,0,0,0,3,4,3,4,3,2,0,4,4,4,0,0,0,0,0,0,4,0,0,0
19,62,31107,GGG,2014B,0,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0
20,67,31269,DDD,2014B,3,4,4,4,4,4,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0
21,91,34293,FFF,2014B,3,4,4,4,4,3,0,3,2,4,0,0,0,0,0,0,3,0,3,0,2,3,2,4,3,1,0,4,4,4,0,0,0,0,0,0,2,0,4,0
22,100,35340,EEE,2014B,3,4,4,4,3,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,3,4,4,3,2,0,0,0,4,0,0,0,0,0,0,3,0,0,0
23,103,35502,DDD,2014B,3,3,4,4,4,4,0,0,0,4,0,0,0,3,0,0,0,0,3,0,4,2,3,2,4,4,0,0,0,4,0,0,0,4,0,0,0,0,4,0
24,105,35508,EEE,2014B,3,4,4,4,3,3,0,0,0,4,0,0,0,0,0,0,4,0,3,0,4,4,4,4,1,1,0,0,0,4,0,0,0,0,0,0,3,0,4,0
25,111,36347,FFF,2014B,3,3,4,4,4,4,0,2,3,3,0,0,0,0,0,0,4,0,0,3,2,2,4,4,4,3,0,3,4,4,0,0,0,0,0,0,4,0,0,4
26,123,39660,DDD,2014B,3,4,4,4,4,4,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,3,3,3,3,3,0,0,0,4,0,0,0,4,0,0,0,0,4,0
27,124,39882,FFF,2014B,2,4,4,4,4,3,0,3,0,3,0,0,0,0,0,0,4,3,0,3,2,2,3,4,4,2,0,4,0,3,0,0,0,0,0,0,4,4,0,4
28,126,40333,CCC,2014B,3,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
29,131,40604,CCC,2014B,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,3,2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
30,135,41414,GGG,2014B,0,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,3,4,2,4,0,0,0,0,0,0,0,0,0,0,3,4,0,0
31,136,41489,FFF,2014B,3,4,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
32,140,42638,CCC,2014B,3,4,4,4,4,3,0,3,0,0,0,0,0,0,0,0,4,0,3,0,4,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,4,0,3,0
33,144,42746,FFF,2014B,3,4,4,4,4,3,0,2,2,3,0,0,3,0,0,2,4,3,2,2,4,4,4,4,4,4,0,4,4,4,0,0,4,0,0,4,4,4,4,4
34,155,45664,CCC,2014B,4,3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0
35,159,46148,FFF,2014B,3,4,4,4,4,3,0,3,3,3,0,0,2,0,0,2,4,0,2,0,4,3,4,4,4,3,0,4,4,4,0,0,4,0,0,4,4,0,3,0
